task,direction,channel,time_s,amplitude
2,-1,Fz,-0.1484375,-0.9892344699543635
2,-1,Fz,-0.14453125,-0.6888280827723834
2,-1,Fz,-0.140625,-0.22709118467315448
2,-1,Fz,-0.13671875,0.2775232122996656
2,-1,Fz,-0.1328125,0.8389530482297614
2,-1,Fz,-0.12890625,1.1936768693864843
2,-1,Fz,-0.125,1.391396709342264
2,-1,Fz,-0.12109375,1.4424923915664856
2,-1,Fz,-0.1171875,1.3424617805114476
2,-1,Fz,-0.11328125,1.1919052010377524
2,-1,Fz,-0.109375,0.9019579837293796
2,-1,Fz,-0.10546875,0.4836512627180126
2,-1,Fz,-0.1015625,-0.1233561484980456
2,-1,Fz,-0.09765625,-0.701427069660072
2,-1,Fz,-0.09375,-1.084242249919408
2,-1,Fz,-0.08984375,-1.3606375800659256
2,-1,Fz,-0.0859375,-1.3479613155034098
2,-1,Fz,-0.08203125,-1.1504775057992969
2,-1,Fz,-0.078125,-0.9894724951762642
2,-1,Fz,-0.07421875,-0.8446055613964664
2,-1,Fz,-0.0703125,-0.8326590172358368
2,-1,Fz,-0.06640625,-0.8822166715171219
2,-1,Fz,-0.0625,-0.84437198055363
2,-1,Fz,-0.05859375,-0.8895063050079396
2,-1,Fz,-0.0546875,-0.8989120984617648
2,-1,Fz,-0.05078125,-0.7163536805266335
2,-1,Fz,-0.046875,-0.44766403491851486
2,-1,Fz,-0.04296875,-0.0455090388389181
2,-1,Fz,-0.0390625,0.49744546019989166
2,-1,Fz,-0.03515625,1.0232900807529235
2,-1,Fz,-0.03125,1.406401307000816
2,-1,Fz,-0.02734375,1.6258784339487495
2,-1,Fz,-0.0234375,1.6931668029330462
2,-1,Fz,-0.01953125,1.5553362747294954
2,-1,Fz,-0.015625,1.2162563764317862
2,-1,Fz,-0.01171875,0.8244478279461133
2,-1,Fz,-0.0078125,0.3127101406417381
2,-1,Fz,-0.00390625,-0.1426114673527501
2,-1,Fz,0.0,-0.43772393075419425
2,-1,Fz,0.00390625,-0.7802822684404607
2,-1,Fz,0.0078125,-1.048063265315732
2,-1,Fz,0.01171875,-1.3587349787309018
2,-1,Fz,0.015625,-1.717326490913699
2,-1,Fz,0.01953125,-2.085894513899436
2,-1,Fz,0.0234375,-2.532716000068895
2,-1,Fz,0.02734375,-2.8875630448997085
2,-1,Fz,0.03125,-3.082322498239583
2,-1,Fz,0.03515625,-3.0779711017747715
2,-1,Fz,0.0390625,-2.9078736772574
2,-1,Fz,0.04296875,-2.6081123981764947
2,-1,Fz,0.046875,-2.221485571954082
2,-1,Fz,0.05078125,-1.7621764699903975
2,-1,Fz,0.0546875,-1.2268997150801901
2,-1,Fz,0.05859375,-0.8017456189398648
2,-1,Fz,0.0625,-0.4590755236088471
2,-1,Fz,0.06640625,-0.14210231781828486
2,-1,Fz,0.0703125,0.10598971640261626
2,-1,Fz,0.07421875,0.3972834128381032
2,-1,Fz,0.078125,0.5674798753389222
2,-1,Fz,0.08203125,0.6768837233028029
2,-1,Fz,0.0859375,0.7998945950999427
2,-1,Fz,0.08984375,0.8052697323578702
2,-1,Fz,0.09375,0.8457282327724254
2,-1,Fz,0.09765625,0.7967266844485587
2,-1,Fz,0.1015625,0.674991560972439
2,-1,Fz,0.10546875,0.6111382088622813
2,-1,Fz,0.109375,0.45538032374145165
2,-1,Fz,0.11328125,0.28725461345786185
2,-1,Fz,0.1171875,0.1235829031145087
2,-1,Fz,0.12109375,-0.08632252357442605
