task,direction,source,time_s,value
2,1,R,0.2890625,0.1202145800904614
2,1,R,0.29296875,0.12196137755568599
2,1,R,0.296875,0.12369466869896123
2,1,R,0.30078125,0.12541425257861344
2,1,R,0.3046875,0.12711994123308695
2,1,R,0.30859375,0.12881155923038193
2,1,R,0.3125,0.1304889432277593
2,1,R,0.31640625,0.1321519415420679
2,1,R,0.3203125,0.13380041373093918
2,1,R,0.32421875,0.1354342301850043
2,1,R,0.328125,0.1370532717312109
2,1,R,0.33203125,0.1386574292472527
2,1,R,0.3359375,0.14024660328707217
2,1,R,0.33984375,0.14182070371735184
2,1,R,0.34375,0.14337964936487319
2,1,R,0.34765625,0.1449233676745932
2,1,R,0.3515625,0.14645179437826372
2,1,R,0.35546875,0.14796487317339976
2,1,R,0.359375,0.14946255541238807
2,1,R,0.36328125,0.15094479980151523
2,1,R,0.3671875,0.15241157210968603
2,1,R,0.37109375,0.1538628448865964
2,1,R,0.375,0.15529859719012146
2,1,R,0.37890625,0.15671881432267654
2,1,R,0.3828125,0.15812348757630829
2,1,R,0.38671875,0.15951261398627337
2,1,R,0.390625,0.1608861960928636
2,1,R,0.39453125,0.16224424171123883
2,1,R,0.3984375,0.1635867637090317
2,1,R,0.40234375,0.16491377979149183
2,1,R,0.40625,0.1662253122939415
2,1,R,0.41015625,0.16752138798131866
2,1,R,0.4140625,0.1688020378545884
2,1,R,0.41796875,0.1700672969638082
2,1,R,0.421875,0.17131720422763846
2,1,R,0.42578125,0.17255180225909353
2,1,R,0.4296875,0.17377113719733508
2,1,R,0.43359375,0.1749752585453141
2,1,R,0.4375,0.17616421901307336
2,1,R,0.44140625,0.1773380743665277
2,1,R,0.4453125,0.1784968832815442
2,1,R,0.44921875,0.17964070720315
2,1,R,0.453125,0.18076961020970042
2,1,R,0.45703125,0.181883658881845
2,1,R,0.4609375,0.18298292217613407
2,1,R,0.46484375,0.18406747130311354
2,1,R,0.46875,0.18513737960975984
2,1,R,0.47265625,0.18619272246611202
2,1,R,0.4765625,0.18723357715596223
2,1,R,0.48046875,0.18826002277147055
2,1,R,0.484375,0.18927214011157395
2,1,R,0.48828125,0.19027001158406348
2,1,R,0.4921875,0.19125372111120842
2,1,R,0.49609375,0.1922233540388089
2,1,R,0.5,0.19317899704856356
2,1,R,0.50390625,0.19412073807364139
2,1,R,0.5078125,0.1950486662173515
2,1,R,0.51171875,0.19596287167480742
2,1,R,0.515625,0.19686344565748568
2,1,R,0.51953125,0.1977504803205828
2,1,R,0.5234375,0.19862406869307653
2,1,R,0.52734375,0.19948430461040154
2,1,R,0.53125,0.20033128264965175
2,1,R,0.53515625,0.2011650980672249
2,1,R,0.5390625,0.2019858467388278
2,1,R,0.54296875,0.20279362510176274
2,1,R,0.546875,0.20358853009941916
2,1,R,0.55078125,0.20437065912789615
2,1,R,0.5546875,0.20514010998468454
2,1,R,0.55859375,0.20589698081933921
2,1,R,0.5625,0.20664137008607497
2,1,R,0.56640625,0.20737337649822118
2,1,R,0.5703125,0.20809309898447245
2,1,R,0.57421875,0.20880063664687512
2,1,R,0.578125,0.20949608872049094
2,1,R,0.58203125,0.21017955453468123
2,1,R,0.5859375,0.21085113347595696
2,1,R,0.58984375,0.21151092495234167
2,1,R,0.59375,0.21215902835919617
2,1,R,0.59765625,0.21279554304645545
2,1,R,0.6015625,0.21342056828722974
2,1,R,0.60546875,0.2140342032477238
2,1,R,0.609375,0.21463654695842915
2,1,R,0.61328125,0.2152276982865463
2,1,R,0.6171875,0.2158077559095949
2,1,R,0.62109375,0.2163768182901711
2,1,R,0.625,0.21693498365181352
2,1,R,0.62890625,0.21748234995593896
2,1,R,0.6328125,0.218019014879812
2,1,R,0.63671875,0.21854507579551272
2,1,R,0.640625,0.21906062974986787
2,1,R,0.64453125,0.21956577344531295
2,1,R,0.6484375,0.22006060322165252
2,1,R,0.65234375,0.220545215038688
2,1,R,0.65625,0.22101970445968255
2,1,R,0.66015625,0.22148416663563472
2,1,R,0.6640625,0.2219386962903316
2,1,R,0.66796875,0.22238338770615546
2,1,R,0.671875,0.22281833471061663
2,1,R,0.67578125,0.22324363066358788
2,1,R,0.6796875,0.22365936844521506
2,1,R,0.68359375,0.2240656404444807
2,1,R,0.6875,0.22446253854839743
2,1,R,0.69140625,0.22485015413180837
2,1,R,0.6953125,0.22522857804777396
2,1,R,0.69921875,0.22559790061852353
2,1,R,0.703125,0.22595821162695165
2,1,R,0.70703125,0.22630960030864017
2,1,R,0.7109375,0.2266521553443864
2,1,R,0.71484375,0.22698596485321978
2,1,R,0.71875,0.22731111638588902
2,1,R,0.72265625,0.22762769691880272
2,1,R,0.7265625,0.22793579284840712
2,1,R,0.73046875,0.22823548998598478
2,1,R,0.734375,0.2285268735528588
2,1,R,0.73828125,0.2288100281759878
2,1,R,0.7421875,0.2290850378839369
2,1,R,0.74609375,0.22935198610321092
2,1,R,0.75,0.22961095565493653
2,1,R,0.75390625,0.22986202875187958
2,1,R,0.7578125,0.2301052869957857
2,1,R,0.76171875,0.2303408113750314
2,1,R,0.765625,0.2305686822625743
2,1,R,0.76953125,0.23078897941419058
2,1,R,0.7734375,0.23100178196698906
2,1,R,0.77734375,0.2312071684381908
2,1,R,0.78125,0.23140521672416425
2,1,R,0.78515625,0.2315960040997055
2,1,R,0.7890625,0.23177960721755456
2,1,R,0.79296875,0.23195610210813777
2,1,R,0.796875,0.23212556417952762
2,1,R,0.80078125,0.23228806821761105
2,1,C,-0.19921875,0.0
2,1,C,-0.1953125,0.0
2,1,C,-0.19140625,0.0
2,1,C,-0.1875,0.0
2,1,C,-0.18359375,0.0
2,1,C,-0.1796875,0.0
2,1,C,-0.17578125,0.0
2,1,C,-0.171875,0.0
2,1,C,-0.16796875,0.0
2,1,C,-0.1640625,0.0
2,1,C,-0.16015625,0.0
2,1,C,-0.15625,0.0
2,1,C,-0.15234375,0.0
2,1,C,-0.1484375,0.0
2,1,C,-0.14453125,0.0
2,1,C,-0.140625,0.0
2,1,C,-0.13671875,0.0
2,1,C,-0.1328125,0.0
2,1,C,-0.12890625,0.0
2,1,C,-0.125,0.0
2,1,C,-0.12109375,0.0
2,1,C,-0.1171875,0.0
2,1,C,-0.11328125,0.0
2,1,C,-0.109375,0.0
2,1,C,-0.10546875,0.0
2,1,C,-0.1015625,0.0
2,1,C,-0.09765625,0.0
2,1,C,-0.09375,0.0
2,1,C,-0.08984375,0.0
2,1,C,-0.0859375,0.0
2,1,C,-0.08203125,0.0
2,1,C,-0.078125,0.0
2,1,C,-0.07421875,0.0
2,1,C,-0.0703125,0.0
2,1,C,-0.06640625,0.0
2,1,C,-0.0625,0.0
2,1,C,-0.05859375,0.0
2,1,C,-0.0546875,0.0
2,1,C,-0.05078125,0.0
2,1,C,-0.046875,0.0
2,1,C,-0.04296875,0.0
2,1,C,-0.0390625,0.0
2,1,C,-0.03515625,0.0
2,1,C,-0.03125,0.0
2,1,C,-0.02734375,0.0
2,1,C,-0.0234375,0.0
2,1,C,-0.01953125,0.0
2,1,C,-0.015625,0.0
2,1,C,-0.01171875,0.0
2,1,C,-0.0078125,0.0
2,1,C,-0.00390625,0.0
2,1,C,0.0,0.0
