fold,scheme,false_positive_rate,true_positive_rate
B_to_A,erp,0.23595505617977527,0.3918918918918919
B_to_A,erp,0.23595505617977527,0.4189189189189189
B_to_A,erp,0.24719101123595505,0.4189189189189189
B_to_A,erp,0.24719101123595505,0.44594594594594594
B_to_A,erp,0.2808988764044944,0.44594594594594594
B_to_A,erp,0.2808988764044944,0.4594594594594595
B_to_A,erp,0.30337078651685395,0.4594594594594595
B_to_A,erp,0.30337078651685395,0.4864864864864865
B_to_A,erp,0.3258426966292135,0.4864864864864865
B_to_A,erp,0.3258426966292135,0.5
B_to_A,erp,0.33707865168539325,0.5
B_to_A,erp,0.33707865168539325,0.5135135135135135
B_to_A,erp,0.34831460674157305,0.5135135135135135
B_to_A,erp,0.34831460674157305,0.5675675675675675
B_to_A,erp,0.38202247191011235,0.5675675675675675
B_to_A,erp,0.38202247191011235,0.5945945945945946
B_to_A,erp,0.39325842696629215,0.5945945945945946
B_to_A,erp,0.39325842696629215,0.6081081081081081
B_to_A,erp,0.4044943820224719,0.6081081081081081
B_to_A,erp,0.4044943820224719,0.6216216216216216
B_to_A,erp,0.42696629213483145,0.6216216216216216
B_to_A,erp,0.42696629213483145,0.6351351351351351
B_to_A,erp,0.4606741573033708,0.6351351351351351
B_to_A,erp,0.4606741573033708,0.6486486486486487
B_to_A,erp,0.5280898876404494,0.6486486486486487
B_to_A,erp,0.5280898876404494,0.6621621621621622
B_to_A,erp,0.5730337078651685,0.6621621621621622
B_to_A,erp,0.5730337078651685,0.6891891891891891
B_to_A,erp,0.6179775280898876,0.6891891891891891
B_to_A,erp,0.6179775280898876,0.7027027027027027
B_to_A,erp,0.651685393258427,0.7027027027027027
B_to_A,erp,0.651685393258427,0.7297297297297297
