task,direction,channel,time_s,train_observed,heldout_observed,fitted
2,1,Fz,-0.046875,-0.1369875269333205,0.3635637246470217,0.0
2,1,Fz,-0.04296875,-0.07346885254591506,0.5420224287677309,0.0
2,1,Fz,-0.0390625,-0.07709617947503156,0.9744559394012883,0.0
2,1,Fz,-0.03515625,-0.07546553337336492,1.516733428262591,0.0
2,1,Fz,-0.03125,-0.01180801953580568,2.033654536384931,0.0
2,1,Fz,-0.02734375,0.105193356967765,2.520841178742751,0.0
2,1,Fz,-0.0234375,0.4357337905662666,2.830695868637141,0.0
2,1,Fz,-0.01953125,0.8273362748171267,3.0684181818998693,0.0
2,1,Fz,-0.015625,1.2214029113874356,3.136818392139074,0.0
2,1,Fz,-0.01171875,1.5712227114845383,3.2109937823792096,0.0
2,1,Fz,-0.0078125,1.716463228159355,3.3982582961312944,0.0
2,1,Fz,-0.00390625,1.7488329797422455,3.70500336384169,0.0
2,1,Fz,0.0,1.5894706295220231,4.515733222524096,0.0
2,1,Fz,0.00390625,1.3450213416445462,5.481063335906342,0.000621912580820391
2,1,Fz,0.0078125,1.162284705238476,6.503065039020673,0.0024576027855626736
2,1,Fz,0.01171875,1.0038450993843582,7.4431935375367795,0.005470513977878981
2,1,Fz,0.015625,0.8642960402163715,7.933122750836541,0.009624831664518418
2,1,Fz,0.01953125,0.801321321239912,8.139112696641275,0.014885505455803139
2,1,Fz,0.0234375,0.7570968886516121,7.925273755868957,0.02121826488096373
2,1,Fz,0.02734375,0.8100124384384118,7.484457215263573,0.028589629810691262
2,1,Fz,0.03125,1.2721152398968076,6.872874076478796,0.03696691617265415
2,1,Fz,0.03515625,1.8764180668737225,6.208615829218881,0.04631823758199124
2,1,Fz,0.0390625,2.5955934433853285,5.724537420800252,0.05661250344843575
2,1,Fz,0.04296875,3.2630497039708146,5.348185430794443,0.06781941406507175
2,1,Fz,0.046875,3.514061030872515,5.228442691081425,0.07990945313095316
2,1,Fz,0.05078125,3.524049507234716,5.253154422890913,0.09285387811098718
2,1,Fz,0.0546875,3.1052746603095183,5.2912987835901415,0.10662470879156849
2,1,Fz,0.05859375,2.514503140600999,5.367869190681219,0.1211947143493537
2,1,Fz,0.0625,2.0417452996056467,5.596642547562047,0.1365373992131372
2,1,Fz,0.06640625,1.6481407188163915,5.851547958829262,0.15262698796485308
2,1,Fz,0.0703125,1.4116980485379889,5.93951767127524,0.16943840949507308
2,1,Fz,0.07421875,1.3174479979254445,5.969733098058879,0.18694728060078836
2,1,Fz,0.078125,1.540284214463092,5.856603961916195,0.20512988918852154
2,1,Fz,0.08203125,1.921587410591472,5.728012632523624,0.2239631772237014
2,1,Fz,0.0859375,2.3747888831475623,5.71650195290882,0.2434247235475212
2,1,Fz,0.08984375,2.8956927683124554,5.790127437804968,0.2634927266649863
2,1,Fz,0.09375,3.2911949149327864,6.097751267484519,0.2841459875923368
2,1,Fz,0.09765625,3.706133036991159,6.4918736770556995,0.30536389283831733
2,1,Fz,0.1015625,4.210681172693908,6.978895526342935,0.32712639758168094
2,1,Fz,0.10546875,4.808818445876483,7.465346464558589,0.34941400909669695
2,1,Fz,0.109375,5.63415218942505,7.6872216906302775,0.3722077704691285
