mode,fold,split,task,space,n,fisher_trace_ratio,squared_mahalanobis,gaussian_plugin_accuracy,relative_distance,deterministic_template_accuracy,relative_antisymmetric_gain,condition_number,operator_condition,alpha
within,within_B_block1,train,2,scalp,56,0.033687717656253495,0.11207270344227907,0.5664669508011075,,,,,,
within,within_B_block1,train,2,source,56,0.03407759629396141,0.11207270344227915,0.5664669508011076,,,,,,
within,within_B_block1,test,1,scalp,16,0.1458533117252801,0.23369930829156563,0.595498443812708,,,,,,
within,within_B_block1,test,1,source,16,0.15085226748789646,0.23369930829156577,0.5954984438127081,,,,,,
within,within_B_block1,test,2,scalp,13,0.17579501886437746,0.4389871586000212,0.6297837017584392,,,,,,
within,within_B_block1,test,2,source,13,0.15033017771197998,0.4389871586000197,0.629783701758439,,,,,,
within,within_B_block1,noise_free_assumption,1,specified_source,2,,,,0.6750323052481624,1.0,0.09124235877577629,10.959821878974562,2.2049757515522335,0.3
within,within_B_block1,noise_free_assumption,1,simulated_scalp,2,,,,0.2003991232433946,1.0,0.09124235877577629,10.959821878974562,2.2049757515522335,0.3
within,within_B_block1,noise_free_assumption,2,specified_source,2,,,,0.5047467359587895,1.0,0.09124235877577629,10.959821878974562,2.2049757515522335,0.3
within,within_B_block1,noise_free_assumption,2,simulated_scalp,2,,,,0.06818236588931813,1.0,0.09124235877577629,10.959821878974562,2.2049757515522335,0.3
within,within_B_block2,train,1,scalp,65,0.01837950110126112,0.030248599763373882,0.5346485940809136,,,,,,
within,within_B_block2,train,1,source,65,0.013070432977365931,0.03024859976337571,0.5346485940809147,,,,,,
within,within_B_block2,train,2,scalp,56,0.10436375585925416,0.22488731259044514,0.5937148256261299,,,,,,
within,within_B_block2,train,2,source,56,0.0670027840313701,0.22488731259031194,0.5937148256261027,,,,,,
within,within_B_block2,test,1,scalp,17,0.5132681816905099,1.2444936145493581,0.7115041815870271,,,,,,
within,within_B_block2,test,1,source,17,0.4213084445890463,1.244493614549368,0.7115041815870278,,,,,,
within,within_B_block2,test,2,scalp,12,0.06486111610112306,0.26797906330314386,0.6021181343198798,,,,,,
within,within_B_block2,test,2,source,12,0.0408395560871019,0.2679790633030838,0.6021181343198686,,,,,,
within,within_B_block2,noise_free_assumption,1,specified_source,2,,,,0.27964377028646437,1.0,0.18085199634461663,232.8884025802085,63.80783087841541,0.3
within,within_B_block2,noise_free_assumption,1,simulated_scalp,2,,,,0.12204372719987935,1.0,0.18085199634461663,232.8884025802085,63.80783087841541,0.3
within,within_B_block2,noise_free_assumption,2,specified_source,2,,,,0.15702393247516197,1.0,0.18085199634461663,232.8884025802085,63.80783087841541,0.3
within,within_B_block2,noise_free_assumption,2,simulated_scalp,2,,,,0.03384226354153718,1.0,0.18085199634461663,232.8884025802085,63.80783087841541,0.3
within,within_B_block3,train,1,scalp,64,0.035075874284817024,0.10495895808287493,0.5643418952946785,,,,,,
within,within_B_block3,train,1,source,64,0.02102660842506069,0.10495895808287492,0.5643418952946785,,,,,,
within,within_B_block3,train,2,scalp,51,0.049044839064097935,0.15931447510952185,0.5790919789659652,,,,,,
within,within_B_block3,train,2,source,51,0.0064945316823966795,0.15931447510952088,0.579091978965965,,,,,,
within,within_B_block3,test,1,scalp,17,0.011812147186871621,0.07140539432116208,0.5531440923633342,,,,,,
within,within_B_block3,test,1,source,17,0.05719804460605964,0.07140539432116152,0.5531440923633341,,,,,,
within,within_B_block3,test,2,scalp,17,0.12013710920118577,1.5535721154395172,0.7334273471797612,,,,,,
within,within_B_block3,test,2,source,17,0.4398794811326298,1.5535721154394952,0.7334273471797597,,,,,,
within,within_B_block3,noise_free_assumption,1,specified_source,2,,,,0.7006619859728218,1.0,0.023160411120484736,43.17712646799804,43.04373105065207,1e-05
within,within_B_block3,noise_free_assumption,1,simulated_scalp,2,,,,0.11470704388031686,1.0,0.023160411120484736,43.17712646799804,43.04373105065207,1e-05
within,within_B_block3,noise_free_assumption,2,specified_source,2,,,,0.5937006102170551,1.0,0.023160411120484736,43.17712646799804,43.04373105065207,1e-05
within,within_B_block3,noise_free_assumption,2,simulated_scalp,2,,,,0.03031637726064799,1.0,0.023160411120484736,43.17712646799804,43.04373105065207,1e-05
within,within_B_block4,train,1,scalp,66,0.046355206123932666,0.06956666491351793,0.5524593940526191,,,,,,
within,within_B_block4,train,1,source,66,0.023601962094528223,0.06956666491351805,0.5524593940526191,,,,,,
within,within_B_block4,train,2,scalp,53,0.11704551597092012,0.23610329356262647,0.5959788278882454,,,,,,
within,within_B_block4,train,2,source,53,0.03898520689591653,0.23610329356262613,0.5959788278882453,,,,,,
within,within_B_block4,test,1,scalp,16,0.2090826813404994,0.6251999687768391,0.6537069373397217,,,,,,
within,within_B_block4,test,1,source,16,0.19034789723350895,0.6251999687768393,0.6537069373397217,,,,,,
within,within_B_block4,test,2,scalp,18,0.2948344329429077,0.6750854683491829,0.6593969756039842,,,,,,
within,within_B_block4,test,2,source,18,0.45517571033638793,0.6750854683491825,0.6593969756039842,,,,,,
within,within_B_block4,noise_free_assumption,1,specified_source,2,,,,0.6933659226866405,1.0,0.036184611186178446,27.636057628331578,27.596863313975742,1e-05
within,within_B_block4,noise_free_assumption,1,simulated_scalp,2,,,,0.21026330825450879,1.0,0.036184611186178446,27.636057628331578,27.596863313975742,1e-05
within,within_B_block4,noise_free_assumption,2,specified_source,2,,,,0.6074767624569749,1.0,0.036184611186178446,27.636057628331578,27.596863313975742,1e-05
within,within_B_block4,noise_free_assumption,2,simulated_scalp,2,,,,0.05496131058881293,1.0,0.036184611186178446,27.636057628331578,27.596863313975742,1e-05
