outer,inner_block,scheme,alpha,size,family,parameter,n,accuracy,balanced_accuracy,macro_f1,auc,left_recall,right_recall,left_left,left_right,right_left,right_right
cross_A_to_B,0,combined,1e-05,12,lda,0.5,34,0.5294117647058824,0.5357142857142857,0.5277777777777778,0.5535714285714286,0.5,0.5714285714285714,10,10,6,8
cross_A_to_B,0,combined,1e-05,12,lda,0.9,34,0.5588235294117647,0.55,0.5490716180371353,0.5642857142857143,0.6,0.5,12,8,7,7
cross_A_to_B,0,combined,1e-05,15,logistic,0.01,34,0.5294117647058824,0.5357142857142857,0.5277777777777778,0.5714285714285714,0.5,0.5714285714285714,10,10,6,8
cross_A_to_B,0,combined,1e-05,15,logistic,0.1,34,0.5588235294117647,0.5821428571428572,0.5584415584415584,0.5785714285714285,0.45,0.7142857142857143,9,11,4,10
cross_A_to_B,0,combined,1e-05,15,logistic,1.0,34,0.5882352941176471,0.6178571428571429,0.5868055555555556,0.6178571428571429,0.45,0.7857142857142857,9,11,3,11
cross_A_to_B,0,combined,1e-05,15,logistic,10.0,34,0.5,0.5,0.49607672188317353,0.575,0.5,0.5,10,10,7,7
cross_A_to_B,0,combined,1e-05,15,svm,0.01,34,0.5882352941176471,0.6071428571428572,0.5882352941176471,0.5750000000000001,0.5,0.7142857142857143,10,10,4,10
cross_A_to_B,0,combined,1e-05,15,svm,0.1,34,0.5882352941176471,0.6178571428571429,0.5868055555555556,0.6178571428571429,0.45,0.7857142857142857,9,11,3,11
cross_A_to_B,0,combined,1e-05,15,svm,1.0,34,0.5,0.5,0.49607672188317353,0.5678571428571428,0.5,0.5,10,10,7,7
cross_A_to_B,0,combined,1e-05,15,svm,10.0,34,0.5,0.47857142857142854,0.47786811201445345,0.5535714285714286,0.6,0.35714285714285715,12,8,9,5
cross_A_to_B,0,combined,1e-05,15,lda,0.1,34,0.5882352941176471,0.6178571428571429,0.5868055555555556,0.6142857142857143,0.45,0.7857142857142857,9,11,3,11
cross_A_to_B,0,combined,1e-05,15,lda,0.5,34,0.5882352941176471,0.6071428571428572,0.5882352941176471,0.5678571428571428,0.5,0.7142857142857143,10,10,4,10
cross_A_to_B,0,combined,1e-05,15,lda,0.9,34,0.5294117647058824,0.525,0.5228070175438597,0.5857142857142857,0.55,0.5,11,9,7,7
cross_A_to_B,0,source,0.001,6,logistic,0.01,34,0.5588235294117647,0.5392857142857143,0.5392953929539295,0.5357142857142857,0.65,0.42857142857142855,13,7,8,6
cross_A_to_B,0,source,0.001,6,logistic,0.1,34,0.5588235294117647,0.55,0.5490716180371353,0.5357142857142858,0.6,0.5,12,8,7,7
cross_A_to_B,0,source,0.001,6,logistic,1.0,34,0.47058823529411764,0.4642857142857143,0.4631578947368421,0.5535714285714286,0.5,0.42857142857142855,10,10,8,6
cross_A_to_B,0,source,0.001,6,logistic,10.0,34,0.47058823529411764,0.4642857142857143,0.4631578947368421,0.5535714285714286,0.5,0.42857142857142855,10,10,8,6
cross_A_to_B,0,source,0.001,6,svm,0.01,34,0.5588235294117647,0.55,0.5490716180371353,0.5321428571428571,0.6,0.5,12,8,7,7
cross_A_to_B,0,source,0.001,6,svm,0.1,34,0.47058823529411764,0.4642857142857143,0.4631578947368421,0.5464285714285715,0.5,0.42857142857142855,10,10,8,6
cross_A_to_B,0,source,0.001,6,svm,1.0,34,0.47058823529411764,0.4642857142857143,0.4631578947368421,0.5464285714285715,0.5,0.42857142857142855,10,10,8,6
cross_A_to_B,0,source,0.001,6,svm,10.0,34,0.47058823529411764,0.4642857142857143,0.4631578947368421,0.5464285714285715,0.5,0.42857142857142855,10,10,8,6
cross_A_to_B,0,source,0.001,6,lda,0.1,34,0.5,0.5,0.49607672188317353,0.5392857142857144,0.5,0.5,10,10,7,7
cross_A_to_B,0,source,0.001,6,lda,0.5,34,0.5882352941176471,0.575,0.575,0.5357142857142857,0.65,0.5,13,7,7,7
cross_A_to_B,0,source,0.001,6,lda,0.9,34,0.5588235294117647,0.5392857142857143,0.5392953929539295,0.5357142857142857,0.65,0.42857142857142855,13,7,8,6
cross_A_to_B,0,source,0.001,12,logistic,0.01,34,0.5882352941176471,0.575,0.575,0.5214285714285715,0.65,0.5,13,7,7,7
cross_A_to_B,0,source,0.001,12,logistic,0.1,34,0.5294117647058824,0.5142857142857142,0.5142857142857142,0.5321428571428571,0.6,0.42857142857142855,12,8,8,6
cross_A_to_B,0,source,0.001,12,logistic,1.0,34,0.5,0.4892857142857143,0.48894783377541995,0.5678571428571428,0.55,0.42857142857142855,11,9,8,6
cross_A_to_B,0,source,0.001,12,logistic,10.0,34,0.5294117647058824,0.525,0.5228070175438597,0.5857142857142856,0.55,0.5,11,9,7,7
cross_A_to_B,0,source,0.001,12,svm,0.01,34,0.5294117647058824,0.5142857142857142,0.5142857142857142,0.5321428571428571,0.6,0.42857142857142855,12,8,8,6
cross_A_to_B,0,source,0.001,12,svm,0.1,34,0.5,0.4892857142857143,0.48894783377541995,0.5678571428571428,0.55,0.42857142857142855,11,9,8,6
cross_A_to_B,0,source,0.001,12,svm,1.0,34,0.5,0.4892857142857143,0.48894783377541995,0.5857142857142856,0.55,0.42857142857142855,11,9,8,6
cross_A_to_B,0,source,0.001,12,svm,10.0,34,0.5294117647058824,0.525,0.5228070175438597,0.5857142857142856,0.55,0.5,11,9,7,7
cross_A_to_B,0,source,0.001,12,lda,0.1,34,0.5294117647058824,0.5142857142857142,0.5142857142857142,0.55,0.6,0.42857142857142855,12,8,8,6
