mode,scheme,fold,false_positive,true_positive
within,source,within_B_block4,0.16666666666666666,0.3125
within,source,within_B_block4,0.3888888888888889,0.3125
within,source,within_B_block4,0.3888888888888889,0.4375
within,source,within_B_block4,0.4444444444444444,0.4375
within,source,within_B_block4,0.4444444444444444,0.5625
within,source,within_B_block4,0.5,0.5625
within,source,within_B_block4,0.5,0.625
within,source,within_B_block4,0.5555555555555556,0.625
within,source,within_B_block4,0.5555555555555556,0.875
within,source,within_B_block4,0.6666666666666666,0.875
within,source,within_B_block4,0.6666666666666666,1.0
within,source,within_B_block4,1.0,1.0
within,combined,within_A_block0,0.0,0.0
within,combined,within_A_block0,0.05,0.0
within,combined,within_A_block0,0.2,0.0
within,combined,within_A_block0,0.2,0.21428571428571427
within,combined,within_A_block0,0.25,0.21428571428571427
within,combined,within_A_block0,0.25,0.2857142857142857
within,combined,within_A_block0,0.3,0.2857142857142857
within,combined,within_A_block0,0.3,0.35714285714285715
within,combined,within_A_block0,0.35,0.35714285714285715
within,combined,within_A_block0,0.35,0.42857142857142855
within,combined,within_A_block0,0.45,0.42857142857142855
within,combined,within_A_block0,0.45,0.5714285714285714
within,combined,within_A_block0,0.5,0.5714285714285714
within,combined,within_A_block0,0.5,0.7857142857142857
within,combined,within_A_block0,0.55,0.7857142857142857
within,combined,within_A_block0,0.55,0.8571428571428571
within,combined,within_A_block0,0.7,0.8571428571428571
within,combined,within_A_block0,0.7,0.9285714285714286
within,combined,within_A_block0,0.9,0.9285714285714286
within,combined,within_A_block0,0.9,1.0
within,combined,within_A_block0,1.0,1.0
within,combined,within_A_block1,0.0,0.0
within,combined,within_A_block1,0.0,0.08333333333333333
within,combined,within_A_block1,0.125,0.08333333333333333
within,combined,within_A_block1,0.125,0.25
within,combined,within_A_block1,0.1875,0.25
within,combined,within_A_block1,0.1875,0.4166666666666667
within,combined,within_A_block1,0.3125,0.4166666666666667
within,combined,within_A_block1,0.3125,0.5
within,combined,within_A_block1,0.375,0.5
within,combined,within_A_block1,0.375,0.5833333333333334
within,combined,within_A_block1,0.5,0.5833333333333334
within,combined,within_A_block1,0.5,0.6666666666666666
within,combined,within_A_block1,0.5625,0.6666666666666666
within,combined,within_A_block1,0.5625,0.8333333333333334
within,combined,within_A_block1,0.8125,0.8333333333333334
within,combined,within_A_block1,0.8125,0.9166666666666666
within,combined,within_A_block1,0.9375,0.9166666666666666
within,combined,within_A_block1,0.9375,1.0
within,combined,within_A_block1,1.0,1.0
